symbol,side,opt_type,expiry,strike,entry_ts,exit_ts,spot_entry,spot_exit,premium_entry,premium_exit,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-04 14:15:00,2026-05-04 14:35:00,2494.5,2484.522,160.0,150.05,927,SL,-9223.649999999989,257.7286679809,-9481.378667980889,5
ADANIENT,short,PE,2026-06-30,2440.0,2026-05-12 13:10:00,2026-05-12 14:00:00,2428.8,2409.3696,110.95,121.0,927,TGT,9316.349999999997,209.5220210251,9106.827978974896,11
ADANIENT,long,CE,2026-06-30,2500.0,2026-05-13 13:35:00,2026-05-13 13:50:00,2519.3,2509.2228,163.65,153.6,927,SL,-9316.350000000011,262.6537214605,-9579.00372146051,4
ADANIENT,long,CE,2026-06-30,2680.0,2026-05-14 11:50:00,2026-05-14 11:50:00,2688.3,2677.5468,145.0,145.0,927,SL,0.0,246.68100022000002,-246.68100022000002,1
ADANIENT,long,CE,2026-06-30,2700.0,2026-05-14 14:35:00,2026-05-14 15:15:00,2701.4,2712.9,171.0,176.0,927,TIME,4635.0,287.26824724600004,4347.731752754,9
ADANIENT,short,PE,2026-06-30,2680.0,2026-05-18 10:45:00,2026-05-18 10:55:00,2671.4,2682.0856,137.45,140.15,927,SL,2502.900000000016,238.89608054680002,2264.003919453216,3
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-20 14:10:00,2026-05-20 14:25:00,2710.9,2700.0564,139.0,139.0,927,SL,0.0,238.426614004,-238.426614004,4
ADANIENT,long,CE,2026-06-30,2720.0,2026-05-22 14:15:00,2026-05-22 14:30:00,2727.0,2716.092,140.5,136.75,927,SL,-3476.25,236.87653049050002,-3713.1265304905,4
ADANIENT,long,CE,2026-06-30,2800.0,2026-05-25 11:00:00,2026-05-25 11:00:00,2802.4,2791.1904,141.95,138.0,927,SL,-3661.6499999999896,238.6786108891,-3900.3286108890898,1
ADANIENT,long,CE,2026-06-30,2820.0,2026-05-25 13:05:00,2026-05-25 13:10:00,2817.5,2840.04,140.65,156.2,927,TGT,14414.849999999984,255.68129689330001,14159.168703106683,2
